cluster,average_price,average_price,total_quantity,total_quantity,sales_amount,sales_amount
,mean,std,mean,std,mean,std
0,2718.666957394302,1880.676580669216,218750.48817994198,194327.06215616886,456212645.3593097,391378910.5082278
1,8151.316104196941,7319.3972804558925,213612.1530105263,266379.02035552915,1058116521.1119924,1123615607.0027797
2,1317.8776165441043,602.481832721326,935255.8307237679,397664.3350579508,1160994821.6961918,632567730.0286411
