,id,total_quantity,average_price,temperature_range,average_temperature,daily_rainfall,cluster,sales_amount,quantity_price_ratio,price_volatility,quantity_volatility,month
count,53244.0,53244.0,53244.0,53244.0,53244.0,53244.0,53244.0,53244.0,53244.0,53244.0,53244.0,53244.0
mean,26621.5,292136.36030253174,3223.4350295538607,8.800890241153933,13.984309969198408,3.9260010517617,0.326102471639997,600956003.4248635,217.33114932474294,0.10915366213262229,1.3157783811333335,6.535403050108933
std,15370.363203255803,319060.2257996124,3558.921820404866,3.0406806687170933,10.3399940800477,13.87872302497901,0.6529365529059471,620427719.183926,372.413290537754,0.3712399460183259,52.91779494760728,3.4118593246843156
min,0.0,1.0,193.92946353024377,0.0,-14.9,0.0,0.0,4200.0,4.2857142857142856e-05,0.0,0.0,1.0
25%,13310.75,91727.40000000001,1422.5429298678312,6.7,5.5,0.0,0.0,234200122.34599757,24.99273717472576,0.026826063866224353,0.06626806915303535,4.0
50%,26621.5,185176.0,2288.4892567649367,8.8,15.0,0.0,0.0,420134742.35933816,78.79791237963988,0.06034575160178729,0.15343592135247658,7.0
75%,39932.25,373195.25,3863.526805160448,11.0,23.1,0.4,0.0,717106503.6230803,242.8714104147293,0.11871314773713151,0.3263588455041091,10.0
max,53243.0,6356255.0,221897.93891937565,17.9,31.7,176.2,2.0,10628702583.805534,6076.520094532293,37.39009287925696,7831.666666666667,12.0
